"agent_A","agent_B","contact","date_start","date_stop","duration","dist_min","dist_mean","dist_max"
0,1,0,669,675,6,9.41,11.26,13.82
0,1,1,1014,1019,5,10.34,11.79,13.72
0,2,0,979,986,7,4.55,8.99,14.49
0,4,0,922,932,10,9.28,11.36,14.66
0,5,0,756,757,1,14.57,14.62,14.68
0,5,1,1006,1014,8,5.76,9.51,13.96
0,6,0,471,477,6,6.35,10.49,14.62
0,6,1,899,913,14,0.7,7.61,14.69
0,6,2,1037,1051,14,7.14,10.01,14.02
0,7,0,536,551,15,8.87,10.94,14.04
0,7,1,629,638,9,1.93,7.3,12.92
0,7,2,741,750,9,5.87,9.53,14.98
0,8,0,664,674,10,3.98,8.53,13.94
0,8,1,770,778,8,3.98,9.05,14.82
0,8,2,887,894,7,11.36,12.49,14.21
0,9,0,807,813,6,12.76,13.7,14.86
0,9,1,833,876,43,4.69,8.94,14.99
0,9,2,913,922,9,7.88,10.53,14.59
0,10,0,1001,1010,9,7.32,10.42,14.89
0,11,0,566,576,10,0.94,7.34,13.86
0,11,1,798,806,8,9.35,11.45,14.46
0,12,0,618,628,10,9.02,11.44,14.9
0,14,0,576,584,8,3.96,8.7,14.19
0,14,1,1049,1054,5,12.27,13.24,14.82
1,0,0,669,675,6,9.41,11.26,13.82
1,0,1,1014,1019,5,10.34,11.79,13.72
1,2,0,939,943,4,12.02,12.94,13.85
1,3,0,770,782,12,0.37,7.89,14.83
1,4,0,726,752,26,3.41,10.07,14.99
1,5,0,458,473,15,5.11,9.26,14.93
1,5,1,776,795,19,3.11,7.96,13.79
1,7,0,611,625,14,2.84,8.44,14.92
1,7,1,763,764,1,14.79,14.87,14.94
1,7,2,915,928,13,4.89,9.02,14.88
1,8,0,664,693,29,2.32,8.03,14.71
1,8,1,934,942,8,4.17,9.14,14.5
1,9,0,566,570,4,12.77,13.74,14.9
1,9,1,701,702,1,14.75,14.78,14.8
1,10,0,926,933,7,9.41,11.02,13.13
1,11,0,449,458,9,0.51,6.56,14.66
1,12,0,514,515,1,14.75,14.78,14.81
1,12,1,835,844,9,4.71,8.67,13.46
1,13,0,452,457,5,10.73,12.07,13.85
1,13,1,699,706,7,3.87,8.66,14.33
1,13,2,863,868,5,8.52,10.48,13.11
1,14,0,1001,1007,6,7.03,9.57,12.51
2,0,0,979,986,7,4.55,8.99,14.49
2,1,0,939,943,4,12.02,12.94,13.85
2,3,0,499,506,7,8.97,11.44,14.63
2,3,1,912,919,7,7.25,10.12,13.81
2,4,0,447,451,4,6.82,10.76,14.71
2,4,1,633,641,8,11.94,12.98,14.51
2,4,2,1049,1051,2,11.86,13.27,14.7
2,5,0,500,509,9,0.71,7.62,14.65
2,5,1,685,690,5,9.99,11.66,14.06
2,6,0,602,607,5,14.26,14.52,14.89
2,6,1,853,863,10,6.8,9.94,14.86
2,7,0,688,696,8,6.75,10.14,14.79
2,7,1,793,798,5,12.34,13.34,14.77
2,7,2,1005,1013,8,6.36,9.87,14.56
2,8,0,501,502,1,14.41,14.42,14.43
2,8,1,601,608,7,5.89,9.78,14.41
2,8,2,931,936,5,12.53,13.19,14.02
2,9,0,602,609,7,10.66,12.43,14.96
2,11,0,637,643,6,11.67,13,14.97
2,11,1,954,962,8,2.42,7.61,13.4
2,12,0,778,787,9,2.66,8.52,13.53
2,13,0,528,537,9,10.22,12.14,14.95
2,13,1,646,649,3,14.22,14.41,14.62
2,13,2,993,998,5,9.79,11.74,14.32
2,14,0,521,528,7,2.92,7.86,13.47
2,14,1,612,617,5,12.43,13.43,14.67
3,1,0,770,782,12,0.37,7.89,14.83
3,2,0,499,506,7,8.97,11.44,14.63
3,2,1,912,919,7,7.25,10.12,13.81
3,5,0,495,505,10,0.63,7.04,12.92
3,5,1,756,777,21,6.82,9.94,14.56
3,6,0,683,684,1,12.72,13.5,14.27
3,7,0,724,731,7,9.96,11.87,14.39
3,8,0,442,448,6,6.4,10.39,14.61
3,8,1,489,519,30,7.82,10.48,14.72
3,8,2,540,559,19,1.51,7.96,14.88
3,8,3,839,848,9,0.93,7.38,13.89
3,9,0,508,515,7,7.7,10.36,14.11
