date,agent_A,agent_B,dist
471,0,6,6.3545423
472,0,6,7.730883
473,0,6,9.107868
474,0,6,10.485243
475,0,6,11.862872
476,0,6,13.240676
477,0,6,14.618606
536,0,7,13.944259
537,0,7,12.85979
538,0,7,11.852576
539,0,7,10.94397
540,0,7,10.1604595
541,0,7,9.532939
542,0,7,9.093759
543,0,7,8.870936
544,0,7,8.880773
545,0,7,9.122514
546,0,7,9.578619
547,0,7,10.220428
548,0,7,11.015531
549,0,7,11.933324
550,0,7,12.947743
551,0,7,14.037857
566,0,11,13.864383
567,0,11,11.224523
568,0,11,8.587242
569,0,11,5.9559655
570,0,11,3.3448942
571,0,11,0.9407969
572,0,11,2.1363218
573,0,11,4.714301
574,0,11,7.3394403
575,0,11,9.974574
576,0,14,14.185812
576,0,11,12.61344
577,0,14,11.06271
578,0,14,8.073215
579,0,14,5.442152
580,0,14,3.9628549
581,0,14,4.8413215
582,0,14,7.267705
583,0,14,10.190567
584,0,14,13.286186
618,0,12,14.434221
619,0,12,12.708137
620,0,12,11.196615
621,0,12,9.997457
622,0,12,9.233178
623,0,12,9.015072
624,0,12,9.381309
625,0,12,10.269558
626,0,12,11.56011
627,0,12,13.134914
628,0,12,14.904136
629,0,7,12.917792
630,0,7,10.109265
631,0,7,7.317652
632,0,7,4.574027
633,0,7,2.0780542
634,0,7,1.9333383
635,0,7,4.379519
636,0,7,7.1165633
637,0,7,9.906244
638,0,7,12.713959
664,0,8,13.363433
665,0,8,10.896416
666,0,8,8.51652
667,0,8,6.3228965
668,0,8,4.590819
669,0,1,12.9753475
669,0,8,3.977549
670,0,1,11.025405
670,0,8,4.92086
671,0,1,9.745945
671,0,8,6.801287
672,0,1,9.414423
672,0,8,9.05256
673,0,1,10.124389
673,0,8,11.458135
674,0,1,11.687567
674,0,8,13.938348
675,0,1,13.81735
741,0,7,14.97574
742,0,7,12.478477
743,0,7,10.121909
744,0,7,8.030863
745,0,7,6.4681945
746,0,7,5.872085
747,0,7,6.5135474
748,0,7,8.103844
749,0,7,10.208787
750,0,7,12.572488
756,0,5,14.569233
757,0,5,14.680414
770,0,8,13.946212
771,0,8,10.676367
772,0,8,7.5747137
773,0,8,4.967014
774,0,8,3.983672
775,0,8,5.565207
776,0,8,8.365219
777,0,8,11.527607
778,0,8,14.822214
798,0,11,13.772039
799,0,11,11.964305
800,0,11,10.516754
801,0,11,9.593833
802,0,11,9.352172
803,0,11,9.842084
804,0,11,10.965951
805,0,11,12.554663
806,0,11,14.45576
807,0,9,14.847197
808,0,9,13.723403
809,0,9,13.003362
810,0,9,12.755632
811,0,9,13.007228
812,0,9,13.730728
813,0,9,14.857353
833,0,9,14.527023
834,0,9,13.912725
835,0,9,13.301897
836,0,9,12.695036
837,0,9,12.092741
838,0,9,11.49573
839,0,9,10.904871
840,0,9,10.321219
841,0,9,9.746071
842,0,9,9.181024
843,0,9,8.628062
844,0,9,8.089666
845,0,9,7.568944
846,0,9,7.069801
847,0,9,6.597138
848,0,9,6.1570563
849,0,9,5.7570324
850,0,9,5.4059663
851,0,9,5.1139507
852,0,9,4.8915725
853,0,9,4.748625
854,0,9,4.6923733
855,0,9,4.725914
856,0,9,4.8473835
857,0,9,5.0504413
858,0,9,5.325764
859,0,9,5.6628203
860,0,9,6.0513034
861,0,9,6.4819736
862,0,9,6.9469895
863,0,9,7.4399133
864,0,9,7.9555593
865,0,9,8.489788
866,0,9,9.039307
867,0,9,9.601489
868,0,9,10.174236
869,0,9,10.75586
870,0,9,11.344997
871,0,9,11.940535
872,0,9,12.54156
873,0,9,13.147322
874,0,9,13.757194
875,0,9,14.370652
876,0,9,14.987258
887,0,8,13.662965
888,0,8,12.521155
889,0,8,11.729095
890,0,8,11.360176
891,0,8,11.455354
892,0,8,12.003593
893,0,8,12.947471
894,0,8,14.208353
899,0,6,13.61516
900,0,6,11.596023
901,0,6,9.577429
902,0,6,7.5598154
903,0,6,5.5442505
904,0,6,3.5342417
905,0,6,1.5515367
906,0,6,0.69851065
907,0,6,2.5947673
908,0,6,4.598039
909,0,6,6.611759
910,0,6,8.628616
911,0,6,10.646826
912,0,6,12.665744
913,0,6,14.685076
913,0,9,14.586854
914,0,9,12.526027
915,0,9,10.671903
916,0,9,9.151
917,0,9,8.152009
918,0,9,7.8760915
919,0,9,8.394851
920,0,9,9.58005
921,0,9,11.222492
922,0,4,14.661482
922,0,9,13.151976
923,0,4,13.0697565
924,0,4,11.6562195
925,0,4,10.493133
926,0,4,9.671281
927,0,4,9.281755
928,0,4,9.37858
929,0,4,9.947561
930,0,4,10.915112
931,0,4,12.186665
932,0,4,13.677697
979,0,2,12.935977
980,0,2,9.537012
981,0,2,6.4855714
982,0,2,4.545723
983,0,2,5.1727633
984,0,2,7.768159
985,0,2,11.019258
986,0,2,14.491262
1001,0,10,13.608382
1002,0,10,11.406462
1003,0,10,9.477
1004,0,10,8.019136
1005,0,10,7.320275
1006,0,5,13.637886
1006,0,10,7.5929666
1007,0,5,10.87742
1007,0,10,8.746811
1008,0,5,8.384096
1008,0,10,10.4951
1009,0,5,6.474278
1009,0,10,12.592633
1010,0,5,5.7608976
1010,0,10,14.892567
1011,0,5,6.6413894
1012,0,5,8.641562
1013,0,5,11.175581
1014,0,1,13.718545
1014,0,5,13.95561
1015,0,1,11.700847
1016,0,1,10.480087
1017,0,1,10.342428
1018,0,1,11.327423
1019,0,1,13.18584
1037,0,6,13.834663
1038,0,6,12.403368
1039,0,6,11.050903
1040,0,6,9.80993
1041,0,6,8.728132
1042,0,6,7.8714147
1043,0,6,7.319246
1044,0,6,7.142608
1045,0,6,7.3685594
1046,0,6,7.9629006
1047,0,6,8.851735
1048,0,6,9.956503
1049,0,6,11.213564
1049,0,14,13.721175
1050,0,6,12.577336
1050,0,14,12.687217
1051,0,6,14.016706
1051,0,14,12.265728
1052,0,14,12.518725
1053,0,14,13.408083
1054,0,14,14.819674
449,1,11,4.4158945
450,1,11,2.3244328
451,1,11,0.51212513
452,1,11,2.0194
452,1,13,13.378595
453,1,11,4.1048875
453,1,13,11.643817
454,1,11,6.2111707
454,1,13,10.730989
455,1,11,8.322476
455,1,13,10.849599
456,1,11,10.435756
456,1,13,11.969022
457,1,11,12.550013
457,1,13,13.848653
458,1,11,14.664824
458,1,5,14.074879
459,1,5,12.404221
460,1,5,10.778874
461,1,5,9.222825
462,1,5,7.777777
463,1,5,6.5179806
464,1,5,5.570571
465,1,5,5.1122785
466,1,5,5.2722344
467,1,5,6.0012054
468,1,5,7.1266694
469,1,5,8.492426
470,1,5,10.000506
471,1,5,11.595511
472,1,5,13.2460785
473,1,5,14.933795
514,1,12,14.81125
515,1,12,14.747429
566,1,9,14.899424
567,1,9,13.391578
568,1,9,12.769719
569,1,9,13.160045
570,1,9,14.480937
611,1,7,14.924184
612,1,7,12.9395485
613,1,7,10.970175
614,1,7,9.026061
615,1,7,7.127901
616,1,7,5.32507
617,1,7,3.757385
618,1,7,2.8445914
619,1,7,3.2058764
620,1,7,4.5470614
622,1,7,8.066935
623,1,7,9.88782
624,1,7,11.776024
625,1,7,13.703747
664,1,8,14.7139
665,1,8,13.727476
666,1,8,12.743069
667,1,8,11.761184
668,1,8,10.78251
669,1,0,12.9753475
669,1,8,9.808011
670,1,0,11.025405
670,1,8,8.839065
671,1,0,9.745945
671,1,8,7.8777223
672,1,0,9.414423
672,1,8,6.9271493
673,1,0,10.124389
673,1,8,5.992473
674,1,0,11.687567
674,1,8,5.0824747
675,1,0,13.81735
675,1,8,4.2131686
676,1,8,3.4157686
677,1,8,2.7534695
678,1,8,2.3437471
679,1,8,2.3242514
680,1,8,2.7034376
681,1,8,3.3484986
682,1,8,4.1368766
683,1,8,5.001249
684,1,8,5.9083557
685,1,8,6.8412194
686,1,8,7.7905927
687,1,8,8.751104
688,1,8,9.719452
689,1,8,10.693508
690,1,8,11.671843
691,1,8,12.653464
692,1,8,13.637662
693,1,8,14.623917
699,1,13,14.32769
700,1,13,10.749828
701,1,13,7.3436294
701,1,9,14.748916
702,1,13,4.5158567
702,1,9,14.802594
703,1,13,3.8666558
704,1,13,6.132135
705,1,13,9.399422
706,1,13,12.930165
726,1,4,14.415211
727,1,4,12.280827
728,1,4,10.176128
729,1,4,8.124223
730,1,4,6.1779385
731,1,4,4.4772058
732,1,4,3.4115002
733,1,4,3.5980294
734,1,4,4.895694
735,1,4,6.6861296
736,1,4,8.66922
737,1,4,10.738758
738,1,4,12.853054
739,1,4,14.993184
740,1,4,13.773137
741,1,4,12.65697
742,1,4,11.674516
743,1,4,10.862119
744,1,4,10.260253
745,1,4,9.907361
746,1,4,9.830294
747,1,4,10.035408
748,1,4,10.506189
749,1,4,11.209213
750,1,4,12.104081
751,1,4,13.15169
752,1,4,14.318553
763,1,7,14.943483
764,1,7,14.788127
770,1,3,14.833243
771,1,3,12.402588
772,1,3,9.97219
773,1,3,7.542299
774,1,3,5.1136394
775,1,3,2.689547
776,1,3,0.37329257
776,1,5,13.7851
777,1,3,2.2059822
777,1,5,12.408606
778,1,3,4.627601
778,1,5,11.041843
779,1,3,7.055803
779,1,5,9.688938
780,1,3,9.485534
780,1,5,8.356612
781,1,3,11.915857
781,1,5,7.0565324
782,1,3,14.346473
782,1,5,5.8103857
783,1,5,4.6616254
784,1,5,3.7020483
785,1,5,3.1118824
786,1,5,3.1091325
787,1,5,3.6951098
788,1,5,4.6524415
789,1,5,5.800071
790,1,5,7.0456142
791,1,5,8.345345
792,1,5,9.677454
793,1,5,11.030216
794,1,5,12.396874
795,1,5,13.773292
835,1,12,13.458633
836,1,12,10.873938
837,1,12,8.420355
838,1,12,6.254147
839,1,12,4.7831445
840,1,12,4.711127
841,1,12,6.0879464
842,1,12,8.21484
843,1,12,10.651585
844,1,12,13.228039
863,1,13,13.107455
864,1,13,10.519598
865,1,13,8.809793
866,1,13,8.523903
867,1,13,9.787508
868,1,13,12.125496
915,1,7,13.221768
916,1,7,11.363389
917,1,7,9.573413
918,1,7,7.898483
919,1,7,6.429152
920,1,7,5.33799
921,1,7,4.885329
922,1,7,5.2393613
923,1,7,6.2647867
924,1,7,7.6978154
925,1,7,9.352933
926,1,7,11.131509
926,1,10,13.129057
927,1,7,12.982904
927,1,10,11.42879
928,1,7,14.879963
928,1,10,10.136062
929,1,10,9.420171
930,1,10,9.413654
931,1,10,10.117882
932,1,10,11.40191
933,1,10,13.096296
934,1,8,14.325741
935,1,8,11.071815
936,1,8,7.983199
937,1,8,5.354065
938,1,8,4.1699786
939,1,2,13.849698
939,1,8,5.468052
940,1,2,12.506015
940,1,8,8.136253
941,1,2,12.019718
941,1,8,11.237697
942,1,2,12.49136
942,1,8,14.496937
943,1,2,13.823222
1001,1,14,12.509754
1002,1,14,9.883951
1003,1,14,7.874995
1004,1,14,7.033003
1005,1,14,7.7482405
1006,1,14,9.68152
1007,1,14,12.270003
1014,1,0,13.718545
1015,1,0,11.700847
1016,1,0,10.480087
1017,1,0,10.342428
1018,1,0,11.327423
1019,1,0,13.18584
447,2,4,6.8234076
448,2,4,8.776789
449,2,4,10.747335
450,2,4,12.727078
451,2,4,14.712304
499,2,3,14.628916
500,2,3,12.158407
500,2,5,12.690215
501,2,3,10.173668
501,2,5,9.656351
501,2,8,14.425403
502,2,3,9.001948
502,2,5,6.6249595
502,2,8,14.410669
503,2,3,8.967808
503,2,5,3.6022859
504,2,3,10.082808
504,2,5,0.71010137
505,2,3,12.031599
505,2,5,2.5442934
506,2,3,14.48139
506,2,5,5.557339
507,2,5,8.586967
508,2,5,11.620216
509,2,5,14.654836
521,2,14,13.467174
522,2,14,9.9880905
523,2,14,6.614743
524,2,14,3.6528661
525,2,14,2.9202313
526,2,14,5.413667
527,2,14,8.699629
528,2,13,14.949031
528,2,14,12.151339
529,2,13,13.30935
530,2,13,11.9192295
531,2,13,10.874793
532,2,13,10.281933
533,2,13,10.219543
534,2,13,10.69691
535,2,13,11.64786
536,2,13,12.968626
537,2,13,14.558908
601,2,8,14.166197
602,2,6,14.790826
602,2,8,10.825735
602,2,9,14.961461
603,2,6,14.429835
603,2,8,7.865563
603,2,9,13.080522
604,2,6,14.256211
604,2,8,5.890054
604,2,9,11.62524
605,2,8,5.9727325
605,2,6,14.276791
605,2,9,10.769576
606,2,8,8.050432
606,2,6,14.490747
606,2,9,10.658929
607,2,8,11.04991
607,2,6,14.889747
607,2,9,11.315174
608,2,8,14.406481
608,2,9,12.619231
609,2,9,14.396118
612,2,14,14.582111
613,2,14,13.180683
614,2,14,12.431681
615,2,14,12.453386
616,2,14,13.242009
617,2,14,14.674421
633,2,4,14.510299
634,2,4,13.475369
635,2,4,12.673491
636,2,4,12.150891
637,2,4,11.944286
637,2,11,14.209352
